Model,Accuracy,Balanced Accuracy,Precision,Recall,F1,ROC AUC,Brier Score
Logistic Regression,0.8018018018018018,0.4635416666666667,0.8557692307692307,0.9270833333333334,0.89,0.5527777777777777,0.17694252127713608
Random Forest,0.6846846846846847,0.4239583333333333,0.8426966292134831,0.78125,0.8108108108108109,0.4916666666666667,0.19062791900977225
